epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5140.78,0.60241,0.82171,1.12589,1.96541,0.20325,0.2131,0.20548,0.17737,0.20325,0.2131,0.20548,0.18201,0.57337,0.63822,1.11905,2.08524,0.0668396,0.000166635,0.000166635
2,9648.58,0.46607,0.89204,0.80307,1.40237,0.43387,0.22245,0.26151,0.21455,0.43127,0.22217,0.26147,0.21265,0.80258,1.19569,1.44788,1.76655,0.0336696,0.000330002,0.000330002
3,14496.3,1.00459,1.37669,1.38433,1.50276,0.52916,0.25156,0.2513,0.21826,0.51916,0.25015,0.25045,0.20702,0.7276,1.11043,1.27536,1.67303,0.000496321,0.000490069,0.000490069
4,18028.1,0.96877,1.26484,1.27322,1.47672,0.51185,0.26525,0.30419,0.24228,0.51582,0.26223,0.3018,0.22589,0.69146,1.05429,1.37432,1.64217,0.00048515,0.00048515,0.00048515
5,22534.3,0.91741,1.21015,1.19445,1.41945,0.18814,0.37897,0.30794,0.2435,0.18209,0.3625,0.29836,0.21946,0.69635,1.14694,1.38214,1.65239,0.0004802,0.0004802,0.0004802
6,27063.8,0.91965,1.2669,1.20568,1.43271,0.5698,0.34295,0.32316,0.25043,0.53838,0.33504,0.31365,0.22761,0.65458,1.0797,1.18288,1.60548,0.00047525,0.00047525,0.00047525
7,31645.9,0.93316,1.20121,1.16602,1.42889,0.68813,0.34927,0.34341,0.2602,0.65239,0.34125,0.33116,0.23603,0.65666,1.03043,1.19066,1.60498,0.0004703,0.0004703,0.0004703
8,36216.4,0.92233,1.19231,1.15354,1.42714,0.68864,0.36372,0.33032,0.25419,0.65914,0.3527,0.31938,0.23061,0.63457,1.01515,1.08795,1.5853,0.00046535,0.00046535,0.00046535
9,40784.7,0.91147,1.2367,1.15084,1.40993,0.55479,0.2847,0.30962,0.24917,0.51195,0.27706,0.29955,0.22274,0.64245,1.027,1.17871,1.58824,0.0004604,0.0004604,0.0004604
10,45393.2,0.89143,1.151,1.10925,1.40374,0.70261,0.35961,0.354,0.26407,0.69542,0.33296,0.33516,0.23751,0.61346,1.01983,1.1708,1.57053,0.00045545,0.00045545,0.00045545
11,49998.2,0.91226,1.23857,1.12327,1.4056,0.62056,0.36225,0.32046,0.2496,0.58887,0.35279,0.305,0.22429,0.6445,1.0208,1.1076,1.56612,0.0004505,0.0004505,0.0004505
12,54458.8,0.95295,1.24194,1.15709,1.40045,0.58454,0.35597,0.35121,0.26201,0.54879,0.34408,0.33729,0.23249,0.64798,0.99773,1.06382,1.55886,0.00044555,0.00044555,0.00044555
13,4566.79,0.86463,1.11367,1.07097,1.40379,0.71605,0.31428,0.33271,0.25595,0.68747,0.30654,0.32105,0.23178,0.60562,0.94514,1.10325,1.5629,0.0004406,0.0004406,0.0004406
